Country,2000,2005,2010,,
Afghanistan,1000,710,460,,
Albania,39,31,27,,
Algeria,140,110,97,,
Angola,890,650,450,,"out of 100,000?"
Argentina,63,69,77,,
Armenia,38,34,30,,
Australia,9,7,7,,
Austria,5,5,4,,
Azerbaijan,65,52,43,,
Bahamas,56,47,47,,
Bahrain,22,21,20,,
Bangladesh,400,330,240,,
Barbados,49,41,51,,
Belarus,31,20,4,,
Belgium,9,8,8,,
Belize,100,77,53,,
Benin,530,430,350,,
Bhutan,430,270,180,,
Bolivia,280,240,190,,
Bosnia and Herzegovina,10,9,8,,
Botswana,350,330,160,,
Brazil,81,67,56,,
Brunei,24,25,24,,
Bulgaria,28,13,11,,
Burkina Faso,450,370,300,,
Burundi,1000,910,800,,
Cambodia,510,340,250,,
Cameroon,730,720,690,,
Canada,7,11,12,,
Cape Verde,170,110,79,,
Central African Republic,1000,1000,890,,
Chad,1100,1100,1100,,
Chile,29,26,25,,
China,61,45,37,,
Colombia,130,100,92,,
Comoros,340,310,280,,
"Congo, Dem. Rep.",770,660,540,,
"Congo, Rep.",540,550,560,,
Costa Rica,47,50,40,,
Cote d'Ivoire,590,510,400,,
Croatia,11,14,17,,
Cuba,63,67,73,,
Cyprus,15,12,10,,
Czech Republic,7,7,5,,
Denmark,8,7,12,,
Djibouti,290,220,200,,
Dominican Republic,130,130,150,,
Ecuador,130,110,110,,
Egypt,100,78,66,,
El Salvador,110,94,81,,
Equatorial Guinea,450,270,240,,
Eritrea,390,300,240,,
Estonia,28,23,2,,
Ethiopia,700,510,350,,
Fiji,31,29,26,,
Finland,5,6,5,,
France,10,8,8,,
Gabon,270,260,230,,
Gambia,520,430,360,,
Georgia,58,61,67,,
Germany,7,7,7,,
Ghana,550,440,350,,
Greece,5,3,3,,
Grenada,27,25,24,,
Guatemala,130,120,120,,
Guinea,970,800,610,,
Guinea-Bissau,970,890,790,,
Guyana,220,280,280,,
Haiti,460,410,350,,
Honduras,160,130,100,,
Hungary,10,10,21,,
Iceland,7,6,5,,
India,390,280,200,,
Indonesia,340,270,220,,
Iran,48,30,21,,
Iraq,78,74,63,,
Ireland,6,2,6,,
Israel,9,7,7,,
Italy,4,5,4,,
Jamaica,83,89,110,,
Japan,10,7,5,,
Jordan,79,72,63,,
Kazakhstan,70,50,51,,
Kenya,490,450,360,,
Kuwait,9,8,14,,
Kyrgyz Republic,82,77,71,,
Lao,870,650,470,,
Latvia,43,21,34,,
Lebanon,38,31,25,,
Lesotho,690,720,620,,
Liberia,1300,1100,770,,
Libya,67,61,58,,
Lithuania,21,11,8,,
Luxembourg,11,17,20,,
"Macedonia, FYR",15,10,10,,
Madagascar,400,310,240,,
Malawi,840,630,460,,
Malaysia,39,34,29,,
Maldives,190,94,60,,
Mali,740,620,540,,
Malta,12,10,8,,
Mauritania,630,560,510,,
Mauritius,28,32,60,,
Mexico,82,54,50,,
"Micronesia, Fed. Sts.",130,110,100,,
Moldova,39,25,41,,
Mongolia,96,84,63,,
Montenegro,11,9,8,,
Morocco,170,130,100,,
Mozambique,710,630,490,,
Myanmar,300,230,200,,
Namibia,280,310,200,,
Nepal,360,250,170,,
Netherlands,13,8,6,,
New Zealand,12,15,15,,
Nicaragua,130,110,95,,
Niger,870,720,590,,
Nigeria,970,820,630,,
North Korea,120,85,81,,
Norway,8,9,7,,
Oman,51,39,32,,
Pakistan,380,310,260,,
Panama,110,100,92,,
Papua New Guinea,310,270,230,,
Paraguay,110,110,99,,
Peru,120,90,67,,
Philippines,120,110,99,,
Poland,8,5,5,,
Portugal,8,8,8,,
Qatar,11,9,7,,
Romania,52,30,27,,
Russia,57,37,34,,
Rwanda,840,550,340,,
Samoa,150,120,100,,
Sao Tome and Principe,110,87,70,,
Saudi Arabia,27,25,24,,
Senegal,500,430,370,,
Serbia,12,10,12,,
Sierra Leone,1300,1000,890,,
Singapore,15,9,3,,
Slovak Republic,13,6,6,,
Slovenia,12,14,12,,
Solomon Islands,120,110,93,,
Somalia,1000,1000,1000,,
South Africa,330,360,300,,
South Korea,19,17,16,,
Spain,5,6,6,,
Sri Lanka,58,44,35,,
St. Lucia,46,40,35,,
St. Vincent and the Grenadines,88,64,48,,
Sudan,870,800,730,,
Suriname,130,110,130,,
Swaziland,360,420,320,,
Sweden,5,4,4,,
Switzerland,6,6,8,,
Syria,120,89,70,,
Tajikistan,120,79,65,,
Tanzania,730,610,460,,
Thailand,66,54,48,,
Timor-Leste,610,410,300,,
Togo,440,370,300,,
Tonga,87,100,110,,
Trinidad and Tobago,59,59,46,,
Tunisia,84,68,56,,
Turkey,39,28,20,,
Turkmenistan,91,76,67,,
Uganda,530,420,310,,
Ukraine,35,25,32,,
United Arab Emirates,14,13,12,,
United Kingdom,12,13,12,,
United States,14,18,21,,
Uruguay,35,31,29,,
Uzbekistan,33,32,28,,
Vanuatu,120,110,110,,
Venezuela,91,94,92,,
Vietnam,100,74,59,,
Yemen,380,270,200,,
Zambia,540,500,440,,
Zimbabwe,640,690,570,,